symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross
GBPUSD,2022-06-15 00:00:00+00:00,2022-06-16 00:00:00+00:00,long,1.20106,1.21741,1.366413466829535,0.018600952644050216
US500,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,short,250.496,243.595,0.30997076992631784,0.008539490783331948
US500,2022-07-01 00:00:00+00:00,2022-07-05 00:00:00+00:00,long,243.595,247.937,0.3074875805443079,0.0054808640354825884
US500,2022-07-05 00:00:00+00:00,2022-07-06 00:00:00+00:00,short,247.937,250.967,0.29058262747161073,-0.0035511656640153997
US500,2022-07-06 00:00:00+00:00,2022-07-08 00:00:00+00:00,long,250.967,252.487,0.3031609230424808,0.0018361163141949331
US500,2022-07-08 00:00:00+00:00,2022-07-12 00:00:00+00:00,short,252.487,246.376,0.3204228346359343,0.007755266379893586
US500,2022-07-12 00:00:00+00:00,2022-07-20 00:00:00+00:00,long,246.376,250.754,0.4374933221301816,0.007774076063764087
XAUUSD,2022-06-15 00:00:00+00:00,2022-07-28 00:00:00+00:00,long,1810.813,1738.618,0.9364365684170476,-0.03733463259699864
US500,2022-07-20 00:00:00+00:00,2022-07-29 00:00:00+00:00,short,250.754,241.804,0.40303078524896296,0.014385116600246512
US500,2022-07-29 00:00:00+00:00,2022-08-04 00:00:00+00:00,long,241.804,252.824,0.3239498557350382,0.014763723553787873
US500,2022-08-04 00:00:00+00:00,2022-08-05 00:00:00+00:00,short,252.824,246.124,0.3158768805616779,0.008370942235560085
US500,2022-08-05 00:00:00+00:00,2022-08-09 00:00:00+00:00,long,246.124,252.854,0.31436459442441017,0.008595966750403404
US500,2022-08-09 00:00:00+00:00,2022-08-10 00:00:00+00:00,short,252.854,250.664,0.3138803967024368,0.0027185572258233643
US500,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,long,250.664,256.084,0.3248638387308468,0.007024391240549868
US500,2022-08-11 00:00:00+00:00,2022-08-16 00:00:00+00:00,short,256.084,250.634,0.32226962499099854,0.006858567720751589
XAUUSD,2022-07-28 00:00:00+00:00,2022-08-18 00:00:00+00:00,short,1738.618,1764.865,1.3914574702111102,-0.02100610037433804
US500,2022-08-16 00:00:00+00:00,2022-09-09 00:00:00+00:00,long,250.634,236.545,0.3416847564859369,-0.01920727648335964
XAUUSD,2022-08-18 00:00:00+00:00,2022-09-13 00:00:00+00:00,long,1764.865,1725.144,1.2357847730444922,-0.027813236122933037
XAUUSD,2022-09-13 00:00:00+00:00,2022-09-14 00:00:00+00:00,short,1725.144,1702.064,1.532505028851464,0.020502761546799395
XAUUSD,2022-09-14 00:00:00+00:00,2022-10-04 00:00:00+00:00,long,1702.064,1700.918,1.457052108363663,-0.000981033448909645
XAUUSD,2022-10-04 00:00:00+00:00,2022-10-12 00:00:00+00:00,short,1700.918,1663.955,0.9906552779015609,0.021528134241083505
XAUUSD,2022-10-12 00:00:00+00:00,2022-10-13 00:00:00+00:00,long,1663.955,1674.422,0.9122840582816039,0.005738663147761688
XAUUSD,2022-10-13 00:00:00+00:00,2022-10-14 00:00:00+00:00,short,1674.422,1663.265,0.9043279263723442,0.006025713156262933
XAUUSD,2022-10-14 00:00:00+00:00,2022-10-27 00:00:00+00:00,long,1663.265,1667.287,0.9242501766833927,0.0022349620839856653
